128 Forest; replaced with Forest
18733 Wondrous Crucible; replaced with Wondrous Crucible
10957 Quintorius Kand; replaced with Quintorius Kand
17043 Rock Hydra; replaced with Rock Hydra
2065 Rooftop Storm; replaced with Rooftop Storm
21898 End-Raze Forerunners; replaced with End-Raze Forerunners
657 Werefox Bodyguard; replaced with Werefox Bodyguard
44128 Chandra's Pyrohelix; replaced with Chandra's Pyrohelix
18965 Far // Away; replaced with Far // Away
29963 Conflagrate; replaced with Conflagrate
11093 Oakhame Ranger // Bring Back; replaced with Oakhame Ranger // Bring Back
2396 Shambleshark; replaced with Shambleshark
42208 Chasm Skulker; replaced with Chasm Skulker
28816 Profane Tutor; replaced with Profane Tutor
13934 Graf Harvest; replaced with Graf Harvest
5203 Rage Reflection; replaced with Rage Reflection
43115 Gale's Redirection; replaced with Gale's Redirection
51963 Searing Meditation; replaced with Searing Meditation
31067 Balmor, Battlemage Captain; replaced with Balmor, Battlemage Captain
4109 Orcish Farmer; replaced with Orcish Farmer
24070 Titanoth Rex; replaced with Titanoth Rex
8005 Kastral, the Windcrested; replaced with Kastral, the Windcrested
23150 Fabled Passage; replaced with Fabled Passage
23280 Alistair, the Brigadier; replaced with Alistair, the Brigadier
5057 Alpha Myr; replaced with Alpha Myr
36247 Archaeomancer; replaced with Archaeomancer
7203 Prowler, Clawed Thief; replaced with Prowler, Clawed Thief
5761 Hinterland Logger // Timber Shredder; replaced with Hinterland Logger // Timber Shredder
26695 Herald's Horn; replaced with Herald's Horn
43131 Varina, Lich Queen; replaced with Varina, Lich Queen
38011 High Ground; replaced with High Ground
6171 Fear, Fire, Foes!; replaced with Fear, Fire, Foes!
8235 Peregrin Took; replaced with Peregrin Took
4880 Rakdos, the Showstopper; replaced with Rakdos, the Showstopper
1540 Phyrexian Revoker; replaced with Phyrexian Revoker
45070 Skyknight Squire; replaced with Skyknight Squire
18656 Trazyn the Infinite; replaced with Trazyn the Infinite
43313 Valgavoth, Terror Eater; replaced with Valgavoth, Terror Eater
25911 Stromkirk Occultist; replaced with Stromkirk Occultist
50317 Strict Proctor; replaced with Strict Proctor
35173 Draconic Roar; replaced with Draconic Roar
23801 Concordant Crossroads; replaced with Concordant Crossroads
776 Mondrak, Glory Dominus; replaced with Mondrak, Glory Dominus
7976 Forge Anew; replaced with Forge Anew
44769 Brothers of Fire; replaced with Brothers of Fire
2649 Kavaron, Memorial World; replaced with Kavaron, Memorial World
8319 Predator's Strike; replaced with Predator's Strike
7739 Snake Umbra; replaced with Snake Umbra
32885 Ensnaring Bridge; replaced with Ensnaring Bridge
12883 Death's Shadow; replaced with Death's Shadow
22540 Primal Order; replaced with Primal Order
3373 Shambling Vent; replaced with Shambling Vent
2802 Zur's Weirding; replaced with Zur's Weirding
37464 Etchings of the Chosen; replaced with Etchings of the Chosen
52135 Anticausal Vestige; replaced with Anticausal Vestige
21569 Adorned Pouncer; replaced with Adorned Pouncer
16364 Yavimaya's Embrace; replaced with Yavimaya's Embrace
12737 Venser's Journal; replaced with Venser's Journal
24857 Thirsting Bloodlord; replaced with Thirsting Bloodlord
18501 Silas Renn, Seeker Adept; replaced with Silas Renn, Seeker Adept
11986 Emberheart Challenger; replaced with Emberheart Challenger
10597 Molten Collapse; replaced with Molten Collapse
22228 Defy Death; replaced with Defy Death
12534 Communal Brewing; replaced with Communal Brewing
4933 Tarnation Vista; replaced with Tarnation Vista
35318 Galadriel of Lothlórien; replaced with Galadriel of Lothlórien
9635 Tree of Redemption; replaced with Tree of Redemption
51950 Mistvein Borderpost; replaced with Mistvein Borderpost
8945 Journey to Eternity // Atzal, Cave of Eternity; replaced with Journey to Eternity // Atzal, Cave of Eternity
19990 Akoum Hellhound; replaced with Akoum Hellhound
37647 Fyndhorn Elves; replaced with Fyndhorn Elves
30666 Summary Dismissal; replaced with Summary Dismissal
3800 Bloodcrazed Neonate; replaced with Bloodcrazed Neonate
35971 Heliod, the Radiant Dawn // Heliod, the Warped Eclipse; replaced with Heliod, the Radiant Dawn // Heliod, the Warped Eclipse
6490 Gang of Elk; replaced with Gang of Elk
46918 Demon of Loathing; replaced with Demon of Loathing
44551 Nimble-Blade Khenra; replaced with Nimble-Blade Khenra
31873 Goldberry, River-Daughter; replaced with Goldberry, River-Daughter
30002 Eladamri, Korvecdal; replaced with Eladamri, Korvecdal
6641 Edge of Autumn; replaced with Edge of Autumn
46173 Satsuki, the Living Lore; replaced with Satsuki, the Living Lore
40236 Ghor-Clan Savage; replaced with Ghor-Clan Savage
26627 Phlage, Titan of Fire's Fury; replaced with Phlage, Titan of Fire's Fury
28577 Angelic Chorus; replaced with Angelic Chorus
18633 Cyclonic Rift; replaced with Cyclonic Rift
32268 Korlash, Heir to Blackblade; replaced with Korlash, Heir to Blackblade
37414 The Meathook Massacre; replaced with The Meathook Massacre
34296 Zenos yae Galvus // Shinryu, Transcendent Rival; replaced with Zenos yae Galvus // Shinryu, Transcendent Rival
7209 World Breaker; replaced with World Breaker
36154 Intellect Devourer; replaced with Intellect Devourer
1905 Sol'kanar the Swamp King; replaced with Sol'kanar the Swamp King
21123 Morphic Pool; replaced with Morphic Pool
37376 Kindred Dominance; replaced with Kindred Dominance
12264 Castle Ardenvale; replaced with Castle Ardenvale
21268 Kellan, Inquisitive Prodigy // Tail the Suspect; replaced with Kellan, Inquisitive Prodigy // Tail the Suspect
28326 Training Center; replaced with Training Center
28953 Wrenn and Seven; replaced with Wrenn and Seven
25167 Thallid; replaced with Thallid
52414 Axegrinder Giant; replaced with Axegrinder Giant
51718 Trail of Evidence; replaced with Trail of Evidence
51836 Arcbound Tracker; replaced with Arcbound Tracker
8616 Shapeshifter; replaced with Shapeshifter
39631 Helm of Kaldra; replaced with Helm of Kaldra
14653 Ritual of the Machine; replaced with Ritual of the Machine
48578 Surrounded by Orcs; replaced with Surrounded by Orcs
51636 Dread Shade; replaced with Dread Shade
7569 Drannith Ruins; replaced with Drannith Ruins
9651 Axelrod Gunnarson; replaced with Axelrod Gunnarson
11080 Anzrag's Rampage; replaced with Anzrag's Rampage
36465 Clive, Ifrit's Dominant // Ifrit, Warden of Inferno; replaced with Clive, Ifrit's Dominant // Ifrit, Warden of Inferno
20019 Fblthp, Lost on the Range; replaced with Fblthp, Lost on the Range
41929 Plundering Barbarian; replaced with Plundering Barbarian
26932 In Oketra's Name; replaced with In Oketra's Name
24149 Scourge of Fleets; replaced with Scourge of Fleets
35247 Descend upon the Sinful; replaced with Descend upon the Sinful
33027 Rise of the Dark Realms; replaced with Rise of the Dark Realms
23628 Steelbane Hydra; replaced with Steelbane Hydra
46059 Witch Hunter; replaced with Witch Hunter
48329 Nantuko Disciple; replaced with Nantuko Disciple
5421 Kytheon, Hero of Akros // Gideon, Battle-Forged; replaced with Kytheon, Hero of Akros // Gideon, Battle-Forged
10292 Michelangelo's Technique; replaced with Michelangelo's Technique
2731 Thousand-Year Storm; replaced with Thousand-Year Storm
51102 Soul of Windgrace; replaced with Soul of Windgrace
29357 Heroes' Reunion; replaced with Heroes' Reunion
3295 Hazoret, Godseeker; replaced with Hazoret, Godseeker
43925 Bottle-Cap Blast; replaced with Bottle-Cap Blast
32165 Zendikar Incarnate; replaced with Zendikar Incarnate
33034 Spawning Bed; replaced with Spawning Bed
22675 Snuff Out; replaced with Snuff Out
20387 Legion's End; replaced with Legion's End
38619 Purging Stormbrood // Absorb Essence; replaced with Purging Stormbrood // Absorb Essence
53209 Enervate; replaced with Enervate
53490 Wrenn and Seven; replaced with Wrenn and Seven
5630 Rogue Class; replaced with Rogue Class
53265 Voldaren Thrillseeker; replaced with Voldaren Thrillseeker
22308 Blue Ward; replaced with Blue Ward
38979 Epiphany at the Drownyard; replaced with Epiphany at the Drownyard
14526 Rosethorn Acolyte // Seasonal Ritual; replaced with Rosethorn Acolyte // Seasonal Ritual
13306 Liu Bei, Lord of Shu; replaced with Liu Bei, Lord of Shu
3676 Corpse Knight; replaced with Corpse Knight
52564 Sunder; replaced with Sunder
12674 Bohn, Beguiling Balladeer; replaced with Bohn, Beguiling Balladeer
43483 Grafted Skullcap; replaced with Grafted Skullcap
19329 Inkwell Leviathan; replaced with Inkwell Leviathan
7916 Renegade Wheelsmith; replaced with Renegade Wheelsmith
28319 Rose Room Treasurer; replaced with Rose Room Treasurer
2061 Karametra, God of Harvests; replaced with Karametra, God of Harvests
26289 Press the Enemy; replaced with Press the Enemy
51984 Kalastria Highborn; replaced with Kalastria Highborn
19749 Noble Purpose; replaced with Noble Purpose
28546 Gonti, Night Minister; replaced with Gonti, Night Minister
12959 Northern Paladin; replaced with Northern Paladin
30600 Preacher of the Schism; replaced with Preacher of the Schism
37805 Necropotence; replaced with Necropotence
15417 Shatterskull Charger; replaced with Shatterskull Charger
27457 Tenuous Truce; replaced with Tenuous Truce
42140 Aurelia, the Law Above; replaced with Aurelia, the Law Above
9154 Throne of Bone; replaced with Throne of Bone
13293 Tower of Murmurs; replaced with Tower of Murmurs
32866 Heroes' Bane; replaced with Heroes' Bane
2898 Shire Terrace; replaced with Shire Terrace
24177 Holy Armor; replaced with Holy Armor
45557 Derelor; replaced with Derelor
42144 Hour of Eternity; replaced with Hour of Eternity
24224 Shepherd of Rot; replaced with Shepherd of Rot
28292 Mosswood Dreadknight // Dread Whispers; replaced with Mosswood Dreadknight // Dread Whispers
13576 Weeping Angel; replaced with Weeping Angel
38115 Order of the Sacred Torch; replaced with Order of the Sacred Torch
8283 Mana Flare; replaced with Mana Flare
10529 Mirror Entity; replaced with Mirror Entity
37934 Tana, the Bloodsower; replaced with Tana, the Bloodsower
33235 Full Throttle; replaced with Full Throttle
25342 Rapid Hybridization; replaced with Rapid Hybridization
49056 Octavia, Living Thesis; replaced with Octavia, Living Thesis
20472 Darksteel Forge; replaced with Darksteel Forge
13296 Avatar of the Resolute; replaced with Avatar of the Resolute
37605 Purelace; replaced with Purelace
49697 Soul of Magma; replaced with Soul of Magma
38383 Thrumming Stone; replaced with Thrumming Stone
50895 Temur Battle Rage; replaced with Temur Battle Rage
17171 Likeness Looter; replaced with Likeness Looter
13706 Atzocan Seer; replaced with Atzocan Seer
12299 Worldspine Wurm; replaced with Worldspine Wurm
2245 Masterful Replication; replaced with Masterful Replication
22515 Codie, Vociferous Codex; replaced with Codie, Vociferous Codex
50272 Street Wraith; replaced with Street Wraith
6820 Skithiryx, the Blight Dragon; replaced with Skithiryx, the Blight Dragon
10505 Green Ward; replaced with Green Ward
51017 Goblin Electromancer; replaced with Goblin Electromancer
52508 Leonin Den-Guard; replaced with Leonin Den-Guard
11941 Havengul Lich; replaced with Havengul Lich
15447 Servant of the Scale; replaced with Servant of the Scale
31193 Cecil, Dark Knight // Cecil, Redeemed Paladin; replaced with Cecil, Dark Knight // Cecil, Redeemed Paladin
47627 Goblin Guide; replaced with Goblin Guide
20435 Herd Baloth; replaced with Herd Baloth
8703 Siren's Call; replaced with Siren's Call
12286 Spiteful Sliver; replaced with Spiteful Sliver
40740 Inti, Seneschal of the Sun; replaced with Inti, Seneschal of the Sun
31430 Ephemerate; replaced with Ephemerate
28967 Kwende, Pride of Femeref; replaced with Kwende, Pride of Femeref
2196 Champions of the Perfect; replaced with Champions of the Perfect
22418 Inspired Tinkering; replaced with Inspired Tinkering
36265 Garruk, Unleashed; replaced with Garruk, Unleashed
4290 Nibelheim Aflame; replaced with Nibelheim Aflame
25172 Regal Imperiosaur; replaced with Regal Imperiosaur
7425 Stony Strength; replaced with Stony Strength
48491 Toby, Beastie Befriender; replaced with Toby, Beastie Befriender
38086 Vraska, Betrayal's Sting; replaced with Vraska, Betrayal's Sting
39321 Illusionary Mask; replaced with Illusionary Mask
11085 Gatstaf Arsonists // Gatstaf Ravagers; replaced with Gatstaf Arsonists // Gatstaf Ravagers
48711 Planetarium of Wan Shi Tong; replaced with Planetarium of Wan Shi Tong
32231 Sakashima the Impostor; replaced with Sakashima the Impostor
25536 Deafening Silence; replaced with Deafening Silence
50984 Secluded Glen; replaced with Secluded Glen
21989 Misleading Signpost; replaced with Misleading Signpost
27984 Hobgoblin Bandit Lord; replaced with Hobgoblin Bandit Lord
26380 Marauding Blight-Priest; replaced with Marauding Blight-Priest
10770 Sorin, Imperious Bloodlord; replaced with Sorin, Imperious Bloodlord
16855 Hero of Goma Fada; replaced with Hero of Goma Fada
6868 Mutagen Man, Living Ooze; replaced with Mutagen Man, Living Ooze
3782 The Soul Stone; replaced with The Soul Stone
20973 Mirror of Life Trapping; replaced with Mirror of Life Trapping
27914 Lodestone Bauble; replaced with Lodestone Bauble
20621 Borderland Behemoth; replaced with Borderland Behemoth
17132 Invoke Calamity; replaced with Invoke Calamity
5981 Rakdos the Defiler; replaced with Rakdos the Defiler
23974 Lord of Atlantis; replaced with Lord of Atlantis
27967 Felix Five-Boots; replaced with Felix Five-Boots
53507 Radiant Destiny; replaced with Radiant Destiny
41089 Halimar Depths; replaced with Halimar Depths
20655 Sphinx of Forgotten Lore; replaced with Sphinx of Forgotten Lore
31975 Seeker of Skybreak; replaced with Seeker of Skybreak
6720 Sedge Sliver; replaced with Sedge Sliver
35371 Bleachbone Verge; replaced with Bleachbone Verge
50273 Cyber Conversion; replaced with Cyber Conversion
3572 Thrummingbird; replaced with Thrummingbird
17819 Shadowstorm Vizier; replaced with Shadowstorm Vizier
15280 Kitesail Larcenist; replaced with Kitesail Larcenist
32721 Spider-Slayer, Hatred Honed; replaced with Spider-Slayer, Hatred Honed
28861 Dream Halls; replaced with Dream Halls
38404 Inspiring Statuary; replaced with Inspiring Statuary
32192 Chromium; replaced with Chromium
13812 Usher of the Fallen; replaced with Usher of the Fallen
24553 Voidslime; replaced with Voidslime
53711 Kytheon, Hero of Akros // Gideon, Battle-Forged; replaced with Kytheon, Hero of Akros // Gideon, Battle-Forged
12033 Fireshrieker; replaced with Fireshrieker
17892 Zombie Master; replaced with Zombie Master
53333 Gang of Elk; replaced with Gang of Elk
18466 Kindred Summons; replaced with Kindred Summons
48229 Maestros Diabolist; replaced with Maestros Diabolist
18567 Crosis, the Purger; replaced with Crosis, the Purger
52522 Zagras, Thief of Heartbeats; replaced with Zagras, Thief of Heartbeats
46434 El-Hajjâj; replaced with El-Hajjâj
14070 Arena of Glory; replaced with Arena of Glory
5500 Teferi, Hero of Dominaria; replaced with Teferi, Hero of Dominaria
3040 Mycosynth Wellspring; replaced with Mycosynth Wellspring
47871 Kiki-Jiki, Mirror Breaker; replaced with Kiki-Jiki, Mirror Breaker
3732 Saheeli, the Sun's Brilliance; replaced with Saheeli, the Sun's Brilliance
5235 Mystic Remora; replaced with Mystic Remora
42341 Sunforger; replaced with Sunforger
40640 Swashbuckler Extraordinaire; replaced with Swashbuckler Extraordinaire
43048 Bilbo, Retired Burglar; replaced with Bilbo, Retired Burglar
35003 Combat Calligrapher; replaced with Combat Calligrapher
17776 Abrupt Decay; replaced with Abrupt Decay
16436 Righteous Avengers; replaced with Righteous Avengers
41653 Dalkovan Encampment; replaced with Dalkovan Encampment
33623 Veil of Summer; replaced with Veil of Summer
3746 Explore; replaced with Explore
13888 Starfield Shepherd; replaced with Starfield Shepherd
44915 Paradox Zone; replaced with Paradox Zone
48940 Burning Palm Efreet; replaced with Burning Palm Efreet
47792 Metalwork Colossus; replaced with Metalwork Colossus
51875 Goblin Recruiter; replaced with Goblin Recruiter
36332 Sergeant John Benton; replaced with Sergeant John Benton
41876 Court Hussar; replaced with Court Hussar
49183 Ascendant Spirit; replaced with Ascendant Spirit
17838 Drey Keeper; replaced with Drey Keeper
41978 Warden of the First Tree; replaced with Warden of the First Tree
11560 Heliod's Intervention; replaced with Heliod's Intervention
41059 Tezzeret the Schemer; replaced with Tezzeret the Schemer
10207 Stoneforge Mystic; replaced with Stoneforge Mystic
11621 Teferi, Temporal Archmage; replaced with Teferi, Temporal Archmage
43591 Army of Allah; replaced with Army of Allah
12349 Glacial Wall; replaced with Glacial Wall
1639 Nissa's Renewal; replaced with Nissa's Renewal
7685 Bartel Runeaxe; replaced with Bartel Runeaxe
669 Frogtosser Banneret; replaced with Frogtosser Banneret
41539 Feasting Troll King; replaced with Feasting Troll King
1385 Aetherflux Conduit; replaced with Aetherflux Conduit
45666 Mystic Speculation; replaced with Mystic Speculation
44619 Endless Ranks of the Dead; replaced with Endless Ranks of the Dead
25431 Eiganjo, Seat of the Empire; replaced with Eiganjo, Seat of the Empire
12144 Monstrous Hound; replaced with Monstrous Hound
31003 Dromar's Cavern; replaced with Dromar's Cavern
13883 Mind's Dilation; replaced with Mind's Dilation
27577 Suburban Sanctuary; replaced with Suburban Sanctuary
14846 Scavenged Brawler; replaced with Scavenged Brawler
3415 Mu Yanling; replaced with Mu Yanling
43877 Parasitic Strix; replaced with Parasitic Strix
47640 Sickening Dreams; replaced with Sickening Dreams
919 Xu-Ifit, Osteoharmonist; replaced with Xu-Ifit, Osteoharmonist
7577 Reclaim; replaced with Reclaim
26189 Good-Fortune Unicorn; replaced with Good-Fortune Unicorn
50759 Tinybones Joins Up; replaced with Tinybones Joins Up
6725 Throne of the Grim Captain // The Grim Captain; replaced with Throne of the Grim Captain // The Grim Captain
35577 Feeling of Dread; replaced with Feeling of Dread
23156 Creeping Tar Pit; replaced with Creeping Tar Pit
36361 Dauthi Trapper; replaced with Dauthi Trapper
25361 Rediscover the Way; replaced with Rediscover the Way
753 Mendicant Core, Guidelight; replaced with Mendicant Core, Guidelight
695 Gaea's Cradle; replaced with Gaea's Cradle
4791 Sautekh Immortal; replaced with Sautekh Immortal
15730 Fleeting Memories; replaced with Fleeting Memories
22957 Grizzled Angler // Grisly Anglerfish; replaced with Grizzled Angler // Grisly Anglerfish
9530 Hope Estheim; replaced with Hope Estheim
19183 Overcharged Amalgam; replaced with Overcharged Amalgam
12500 Unholy Annex // Ritual Chamber; replaced with Unholy Annex // Ritual Chamber
28997 Thaumatic Compass // Spires of Orazca; replaced with Thaumatic Compass // Spires of Orazca
13203 Myriad Landscape; replaced with Myriad Landscape
21727 Firion, Wild Rose Warrior; replaced with Firion, Wild Rose Warrior
51141 Detective's Phoenix; replaced with Detective's Phoenix
16606 Blex, Vexing Pest // Search for Blex; replaced with Blex, Vexing Pest // Search for Blex
29266 Orim's Chant; replaced with Orim's Chant
54570 Tale's End; replaced with Tale's End
23743 Ondu Spiritdancer; replaced with Ondu Spiritdancer
7987 Elder Arthur Maxson; replaced with Elder Arthur Maxson
18648 Virtue's Ruin; replaced with Virtue's Ruin
53809 Vren, the Relentless; replaced with Vren, the Relentless
22043 Desperate Ritual; replaced with Desperate Ritual
11648 Karma; replaced with Karma
19610 Archon of Sun's Grace; replaced with Archon of Sun's Grace
39670 Jaxis, the Troublemaker; replaced with Jaxis, the Troublemaker
46498 Wall of Essence; replaced with Wall of Essence
13169 Belt of Giant Strength; replaced with Belt of Giant Strength
38353 Vnwxt, Verbose Host; replaced with Vnwxt, Verbose Host
41473 Brutal Cathar // Moonrage Brute; replaced with Brutal Cathar // Moonrage Brute
15962 Bloodmark Mentor; replaced with Bloodmark Mentor
43127 Aang, at the Crossroads // Aang, Destined Savior; replaced with Aang, at the Crossroads // Aang, Destined Savior
1077 Hidden Blade; replaced with Hidden Blade
3616 Khalni Heart Expedition; replaced with Khalni Heart Expedition
11730 Nicol Bolas, God-Pharaoh; replaced with Nicol Bolas, God-Pharaoh
17126 Aerial Extortionist; replaced with Aerial Extortionist
26989 Anara, Wolvid Familiar; replaced with Anara, Wolvid Familiar
27767 Phoenix Fleet Airship; replaced with Phoenix Fleet Airship
26328 Patchwork Crawler; replaced with Patchwork Crawler
28768 Transcendent Message; replaced with Transcendent Message
25365 Morbid Opportunist; replaced with Morbid Opportunist
33427 Siege-Gang Commander; replaced with Siege-Gang Commander
21568 Ghave, Guru of Spores; replaced with Ghave, Guru of Spores
25122 Reprobation; replaced with Reprobation
43566 Ghost-Lit Drifter; replaced with Ghost-Lit Drifter
38958 Ureni, the Song Unending; replaced with Ureni, the Song Unending
46507 Magus of the Mind; replaced with Magus of the Mind
33415 Shay Cormac; replaced with Shay Cormac
13317 Dead Before Sunrise; replaced with Dead Before Sunrise
52504 Desolation Angel; replaced with Desolation Angel
20039 Invoke the Ancients; replaced with Invoke the Ancients
4405 Skrelv's Hive; replaced with Skrelv's Hive
49821 Animal Friend; replaced with Animal Friend
14542 Mycosynth Golem; replaced with Mycosynth Golem
31047 Dwarven Weaponsmith; replaced with Dwarven Weaponsmith
55321 Mendicant Core, Guidelight; replaced with Mendicant Core, Guidelight
55066 Cavalier of Night; replaced with Cavalier of Night
17387 Crown of Vigor; replaced with Crown of Vigor
10455 Trinisphere; replaced with Trinisphere
8203 Bladestitched Skaab; replaced with Bladestitched Skaab
22252 Kessig Wolf Run; replaced with Kessig Wolf Run
29031 Caged Sun; replaced with Caged Sun
41863 Spike Breeder; replaced with Spike Breeder
46344 Hinata, Dawn-Crowned; replaced with Hinata, Dawn-Crowned
40331 Aurochs; replaced with Aurochs
15855 Jolene, the Plunder Queen; replaced with Jolene, the Plunder Queen
28825 Torbran, Thane of Red Fell; replaced with Torbran, Thane of Red Fell
32642 Floodfarm Verge; replaced with Floodfarm Verge
1929 Altaïr Ibn-La'Ahad; replaced with Altaïr Ibn-La'Ahad
8908 Machinist's Arsenal; replaced with Machinist's Arsenal
46963 Halvar, God of Battle // Sword of the Realms; replaced with Halvar, God of Battle // Sword of the Realms
3592 Pyre of Heroes; replaced with Pyre of Heroes
25074 Glacial Chasm; replaced with Glacial Chasm
20488 Glissa Sunslayer; replaced with Glissa Sunslayer
22575 Sphinx of the Second Sun; replaced with Sphinx of the Second Sun
50799 Relearn; replaced with Relearn
43166 Graven Lore; replaced with Graven Lore
20457 Ballista Squad; replaced with Ballista Squad
873 Mirelurk Queen; replaced with Mirelurk Queen
22978 Astarion, the Decadent; replaced with Astarion, the Decadent
29954 Stream of Thought; replaced with Stream of Thought
21080 Solar Blaze; replaced with Solar Blaze
37525 Smoldering Egg // Ashmouth Dragon; replaced with Smoldering Egg // Ashmouth Dragon
14000 The Black Breath; replaced with The Black Breath
54738 Scrapper Champion; replaced with Scrapper Champion
34576 Trench Gorger; replaced with Trench Gorger
5792 Searing Blood; replaced with Searing Blood
54685 Double Major; replaced with Double Major
45274 Jacked Rabbit; replaced with Jacked Rabbit
45795 Increasing Vengeance; replaced with Increasing Vengeance
7878 Branching Evolution; replaced with Branching Evolution
23383 Mikey & Don, Party Planners; replaced with Mikey & Don, Party Planners
29967 Tempting Contract; replaced with Tempting Contract
55786 Seed Guardian; replaced with Seed Guardian
994 False Prophet; replaced with False Prophet
7604 Divine Visitation; replaced with Divine Visitation
30653 Moraug, Fury of Akoum; replaced with Moraug, Fury of Akoum
19106 Paladin Elizabeth Taggerdy; replaced with Paladin Elizabeth Taggerdy
15129 Invasion of Arcavios // Invocation of the Founders; replaced with Invasion of Arcavios // Invocation of the Founders
47067 Sun Droplet; replaced with Sun Droplet
32920 Genju of the Spires; replaced with Genju of the Spires
5317 Throne of Makindi; replaced with Throne of Makindi
53023 Capricious Hellraiser; replaced with Capricious Hellraiser
41046 Skyrider Elf; replaced with Skyrider Elf
9478 Wrexial, the Risen Deep; replaced with Wrexial, the Risen Deep
31522 Wight; replaced with Wight
51481 Abbot of Keral Keep; replaced with Abbot of Keral Keep
24752 Reap the Past; replaced with Reap the Past
55935 Jarad's Orders; replaced with Jarad's Orders
7327 Mad Ratter; replaced with Mad Ratter
30776 Bramblewood Paragon; replaced with Bramblewood Paragon
39967 Surging Flame; replaced with Surging Flame
503 Cass, Hand of Vengeance; replaced with Cass, Hand of Vengeance
18239 Dissenter's Deliverance; replaced with Dissenter's Deliverance
9051 Nyxbloom Ancient; replaced with Nyxbloom Ancient
43064 Whoosh!; replaced with Whoosh!
5426 Countersquall; replaced with Countersquall
15732 Ghostflame Sliver; replaced with Ghostflame Sliver
12009 Teysa, Envoy of Ghosts; replaced with Teysa, Envoy of Ghosts
23735 Palazzo Archers; replaced with Palazzo Archers
34561 Acquired Mutation; replaced with Acquired Mutation
9269 Indominus Rex, Alpha; replaced with Indominus Rex, Alpha
46195 Warleader's Call; replaced with Warleader's Call
9915 Sunglasses of Urza; replaced with Sunglasses of Urza
29468 Fountain of Youth; replaced with Fountain of Youth
24141 Peek; replaced with Peek
36867 Treasure Chest; replaced with Treasure Chest
51188 Grievous Wound; replaced with Grievous Wound
20064 Herald of Eternal Dawn; replaced with Herald of Eternal Dawn
13620 Faerie Seer; replaced with Faerie Seer
24618 Tamiyo, Field Researcher; replaced with Tamiyo, Field Researcher
9766 Enkira, Hostile Scavenger; replaced with Enkira, Hostile Scavenger
1571 Beanstalk Giant // Fertile Footsteps; replaced with Beanstalk Giant // Fertile Footsteps
536 Mizzium Tank; replaced with Mizzium Tank
6589 Beasts of Bogardan; replaced with Beasts of Bogardan
26096 Underworld Dreams; replaced with Underworld Dreams
25408 Finale of Devastation; replaced with Finale of Devastation
3036 Toggo, Goblin Weaponsmith; replaced with Toggo, Goblin Weaponsmith
24587 Dwarven Demolition Team; replaced with Dwarven Demolition Team
32664 Dingus Egg; replaced with Dingus Egg
23588 Show and Tell; replaced with Show and Tell
37436 Vislor Turlough; replaced with Vislor Turlough
30343 Mind Bend; replaced with Mind Bend
23168 Stirring Wildwood; replaced with Stirring Wildwood
43353 Seifer Almasy; replaced with Seifer Almasy
27506 Rain of Blades; replaced with Rain of Blades
54770 Sphinx of Forgotten Lore; replaced with Sphinx of Forgotten Lore
53219 Necrogoyf; replaced with Necrogoyf
43194 Abhorrent Oculus; replaced with Abhorrent Oculus
44420 Ojer Axonil, Deepest Might // Temple of Power; replaced with Ojer Axonil, Deepest Might // Temple of Power
49563 Dargo, the Shipwrecker; replaced with Dargo, the Shipwrecker
25583 Izzet Charm; replaced with Izzet Charm
50632 Tarmogoyf; replaced with Tarmogoyf
6124 Vines of Vastwood; replaced with Vines of Vastwood
5276 Chainer's Edict; replaced with Chainer's Edict
24794 Reno and Rude; replaced with Reno and Rude
45766 Godsire; replaced with Godsire
35089 Eureka; replaced with Eureka
44645 Guul Draz Assassin; replaced with Guul Draz Assassin
40330 Pippin, Guard of the Citadel; replaced with Pippin, Guard of the Citadel
12751 Cut of the Profits; replaced with Cut of the Profits
8220 Twinflame Tyrant; replaced with Twinflame Tyrant
48743 Castle Garenbrig; replaced with Castle Garenbrig
26248 Weldfast Wingsmith; replaced with Weldfast Wingsmith
9118 Calamity of the Titans; replaced with Calamity of the Titans
49145 Blade Sliver; replaced with Blade Sliver
48042 Florian, Voldaren Scion; replaced with Florian, Voldaren Scion
29234 Raven's Crime; replaced with Raven's Crime
9335 Dryad Arbor; replaced with Dryad Arbor
38512 Quirion Ranger; replaced with Quirion Ranger
55413 Vizier of Many Faces; replaced with Vizier of Many Faces
25257 Thran Quarry; replaced with Thran Quarry
14845 Valki, God of Lies // Tibalt, Cosmic Impostor; replaced with Valki, God of Lies // Tibalt, Cosmic Impostor
13133 Lulu, Loyal Hollyphant; replaced with Lulu, Loyal Hollyphant
33293 Archaeomancer's Map; replaced with Archaeomancer's Map
10298 Seize the Spoils; replaced with Seize the Spoils
39359 Venom; replaced with Venom
4422 Tempered Steel; replaced with Tempered Steel
28349 Ankle Shanker; replaced with Ankle Shanker
14210 Oswald Fiddlebender; replaced with Oswald Fiddlebender
36231 Silver-Fur Master; replaced with Silver-Fur Master
5337 Fabricate; replaced with Fabricate
37719 Kraum, Ludevic's Opus; replaced with Kraum, Ludevic's Opus
19771 Diabolic Vision; replaced with Diabolic Vision
21065 Guan Yu's 1,000-Li March; replaced with Guan Yu's 1,000-Li March
15554 Vedalken Dismisser; replaced with Vedalken Dismisser
17310 Carrion Wall; replaced with Carrion Wall
54767 Improvised Weaponry; replaced with Improvised Weaponry
21183 Control Magic; replaced with Control Magic
